Date,Sales
Jan-16,850
Feb-16,1550
Mar-16,3990
Apr-16,800
May-16,1200
Jun-16,3700
Jul-16,1954
Aug-16,2852
Sep-16,4350
Oct-16,925
Nov-16,1400
Dec-16,5850
Jan-17,900
Feb-17,1750
Mar-17,3450
Apr-17,1125
May-17,1620
Jun-17,2350
Jul-17,1425
Aug-17,2150
Sep-17,4860
Oct-17,1120
Nov-17,1335
Dec-17,4975
Jan-18,800
Feb-18,1125
Mar-18,3375
Apr-18,1250
May-18,1520
Jun-18,2750
Jul-18,1200
Aug-18,2625
Sep-18,3750
Oct-18,1350
Nov-18,2750
Dec-18,3250
Jan-19,725
Feb-19,625
Mar-19,2275
Apr-19,825
May-19,1025
Jun-19,1750
Jul-19,975
Aug-19,1050
Sep-19,1100
Oct-19,700
Nov-19,900
Dec-19,2150
